NT_187605.1	chr15_KI270849v1_alt
HSCHR7_1_CTG6	NW_003315922.2
KI270376.1	chrUn_KI270376v1
NT_187459.1	chrUn_KI270329v1
GJ211938.1	KI270416.1
KI270796.1	chr5_KI270796v1_alt
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	NT_187684.1
NT_187407.1	chrUn_KI270317v1
HSCHR21_5_CTG2	chr21_KI270872v1_alt
KI270768.1	chr2_KI270768v1_alt
CM000685.2	chrX
KI270539.1	chrUn_KI270539v1
8	CM000670.2
KI270803.1	NT_187562.1
HSCHR19KIR_FH05_B_HAP_CTG3_1	chr19_KI270921v1_alt
KI270403.1	NT_187210.1
KI270447.1	NT_187234.1
GL383571.1	HSCHR18_2_CTG2
HG1445_PATCH	ML143357.1
HSCHR11_1_CTG5	KI270829.1
KI270869.1	NT_187623.1
HSCHR3_1_CTG3	NT_187532.1
HG2219_PATCH	MU273390.1
KI270863.1	NT_187617.1
KI270581.1	NT_187449.1
GJ211932.1	NT_187216.1
GL383549.1	chr12_GL383549v1_alt
KI270628.1	NT_187324.1
8	chr8
KZ208918.1	NW_018654720.1
KI270920.1	chr19_KI270920v1_alt
KI270793.1	NT_187550.1
CM000675.2	NC_000013.11
NT_187652.1	chr5_KI270898v1_alt
HSCHR3_2_CTG2_1	chr3_KI270777v1_alt
HSCHR19_1_CTG3_1	chr19_GL383574v1_alt
KI270736.1	NT_187391.1
HSCHR18_1_CTG1_1	NW_003315956.1
KI270345.1	NT_187188.1
HSCHR8_4_CTG7	NT_187573.1
KI270605.1	NT_187306.1
KI270347.1	NT_187190.1
NW_003571061.2	chr19_GL949753v2_alt
KI270835.1	chr12_KI270835v1_alt
NT_187599.1	chr14_KI270845v1_alt
7	chr7
HSCHR8_6_CTG7	chr8_KI270820v1_alt
NT_187610.1	chr16_KI270854v1_alt
KI270896.1	NT_187650.1
HSCHR3_7_CTG3	NT_187690.1
HSCHR7_1_CTG1	KI270804.1
HSCHR14_2_CTG1	KI270845.1
KI270307.1	NT_187283.1
HSCHR17_8_CTG4	KI270858.1
GL000069.2	NT_008413.19
ML143354.1	NW_021160000.1
HSCHR1_ALT2_1_CTG32_1	chr1_KI270892v1_alt
14	chr14
HSCHR19KIR_0019-4656-B_CTG3_1	KV575256.1
HSCHR8_1_CTG7	KI270810.1
HSCHR4_2_CTG12	NT_187542.1
3	CM000665.2
NT_187642.1	chr19_KI270888v1_alt
GL383539.1	chr9_GL383539v1_alt
KV575245.1	NW_016107299.1
GL383579.2	chr21_GL383579v2_alt
KI270337.1	NT_187466.1
KI270757.1	NT_187512.1
KV766192.1	NW_017363813.1
HSCHR1_5_CTG32_1	NW_014040927.1
HSCHR22_1_CTG3	KI270875.1
GL000253.2	chr6_GL000253v2_alt
GL000156.2	NT_011526.8
HSCHR5_1_CTG1_1	chr5_KI270897v1_alt
KI270329.1	chrUn_KI270329v1
HSCHR1_1_CTG11	chr1_KI270760v1_alt
HSCHR7_3_CTG6	chr7_KI270808v1_alt
NC_000024.10	chrY
GL000057.2	NT_023603.6
HG2058_PATCH	NW_009646195.1
GJ212045.1	NT_187259.1
HSCHR2_7_CTG7_2	NW_018654709.1
HG2067_PATCH	KV880766.1
KI270890.1	chr19_KI270890v1_alt
HG1485_PATCH	ML143378.1
KI270866.1	NT_187619.1
KI270808.1	chr7_KI270808v1_alt
HSCHR9_1_CTG5	KI270823.1
GL949746.1	NW_003571054.1
KI270603.1	NT_187304.1
KI270927.1	NT_187681.1
GL949752.1	chr19_GL949752v1_alt
NT_187565.1	chr8_KI270811v1_alt
GL000169.2	NT_011651.18
KI270838.1	NT_187592.1
KI270753.1	NT_187508.1
GJ211881.1	NT_187185.1
KQ458387.1	NW_014040930.1
HG28_PATCH	NW_021160004.1
KI270577.1	NT_187291.1
NT_187598.1	chr14_KI270844v1_alt
KI270823.1	chr9_KI270823v1_alt
GJ212211.1	KI866537.1
KI270464.1	NT_187238.1
HSCHR3_4_CTG2_1	KI270780.1
KN196482.1	NW_009646204.1
HG1046_PATCH	MU273352.1
HSCHR19KIR_RP5_B_HAP_CTG3_1	NT_113949.2
CM000673.2	NC_000011.10
NT_187557.1	chr6_KI270802v1_alt
GL000086.2	NT_078070.4
GL000220.1	chrUn_GL000220v1
HSCHR2_3_CTG15	NT_187527.1
NT_187433.1	chrUn_KI270519v1
GJ211943.1	KI270421.1
KI270336.1	NT_187465.1
HSCHR19KIR_CA01-TB01_CTG3_1	KV575250.1
KI270364.1	NT_187468.1
KI270770.1	chr2_KI270770v1_alt
HSCHR15_1_CTG3	KI270848.1
KI270783.1	chr3_KI270783v1_alt
GL949752.1	NW_003571060.1
HSCHR17_7_CTG4	KI270857.1
GL000033.2	NT_022517.19
KI270746.1	NT_187501.1
NT_187471.1	chrUn_KI270378v1
HG2525_PATCH	NW_021159991.1
HSCHR13_1_CTG3	chr13_KI270840v1_alt
ML143363.1	NW_021160009.1
HSCHR10_1_CTG4	chr10_KI270825v1_alt
HG2308_PATCH	MU273355.1
HG2242_HG2243_PATCH	NW_011332693.1
ML143368.1	NW_021160014.1
KI270778.1	NT_187536.1
KI270396.1	chrUn_KI270396v1
NT_187626.1	chr21_KI270872v1_alt
HG2237_PATCH	KQ031386.1
KN196487.1	NW_009646209.1
GJ211936.1	KI270413.1
HSCHR19KIR_FH15_A_HAP_CTG3_1	NT_187687.1
HG1507_PATCH	NW_021160029.1
NC_000004.12	chr4
KI270830.1	NT_187584.1
ML143341.1	NW_021159987.1
HG2198_PATCH	ML143370.1
NT_187503.1	chrUn_KI270748v1
KZ208910.1	NW_018654712.1
HSCHR5_4_CTG1	NT_187548.1
HSCHR12_6_CTG2_1	chr12_KI270834v1_alt
KI270903.1	NT_187657.1
3	NC_000003.12
NT_187566.1	chr8_KI270814v1_alt
GL000167.2	NT_011630.15
GJ211887.1	NT_187191.1
KI270936.1	NT_187690.1
KQ983255.1	NW_015495298.1
NT_167249.2	chr6_GL000256v2_alt
KQ031389.1	NW_012132920.1
HSCHR9_1_CTG5	chr9_KI270823v1_alt
HSCHR11_1_CTG5	NT_187583.1
NW_003315931.1	chr9_GL383542v1_alt
CM000678.2	chr16
GL000044.2	NT_022853.16
HSCHR13_1_CTG2	NT_187593.1
KI270923.1	chr19_KI270923v1_alt
KI270896.1	chr4_KI270896v1_alt
NT_187678.1	chr3_KI270924v1_alt
NT_187601.1	chr14_KI270847v1_alt
GL383568.1	HSCHR18_1_CTG2
GL000074.2	NT_078055.5
HSCHR19KIR_RSH_A_HAP_CTG3_1	chr19_KI270891v1_alt
HSCHR15_4_CTG8	KI270905.1
KI270876.1	NT_187630.1
HSCHR16_CTG2	NT_187610.1
HSCHR13_1_CTG4	chr13_KI270841v1_alt
HG2217_PATCH	NW_009646203.1
KI270316.1	NT_187403.1
NT_187411.1	chrUn_KI270419v1
KI270383.1	chrUn_KI270383v1
HSCHR8_7_CTG1	chr8_KI270926v1_alt
HSCHR14_1_CTG1	NT_187598.1
KI270807.1	chr7_KI270807v1_alt
KI270802.1	chr6_KI270802v1_alt
HSCHR8_4_CTG1	chr8_KI270818v1_alt
GL877875.1	chr12_GL877875v1_alt
NW_003315971.2	chr22_GL383582v2_alt
HSCHR5_8_CTG1	KV575243.1
KI270582.1	NT_187454.1
GJ212066.1	KI270546.1
HSCHR17_2_CTG2	KI270862.1
KI270788.1	NT_187544.1
HSCHR8_8_CTG1	chr8_KI270821v1_alt
HSCHR2_12_CTG7_2	MU273339.1
KI270721.1	NT_187376.1
8	NC_000008.11
KN196484.1	NW_009646206.1
GJ211886.1	KI270347.1
KI270390.1	NT_187474.1
CM000663.2	chr1
HG2225_PATCH	MU273388.1
KI270914.1	chr19_KI270914v1_alt
KI270511.1	chrUn_KI270511v1
KI270899.1	NT_187653.1
GL383533.1	NW_003315921.1
NW_003315921.1	chr6_GL383533v1_alt
GL000038.2	NT_006051.19
KI270774.1	chr2_KI270774v1_alt
HG2412_PATCH	NW_019805502.1
KI270901.1	NT_187655.1
HSCHR19KIR_FH13_A_HAP_CTG3_1	chr19_KI270931v1_alt
HSCHR17_4_CTG4	NW_003871091.1
HSCHR8_4_CTG1	KI270818.1
KQ031384.1	NW_012132915.1
HSCHR5_9_CTG1	KZ208910.1
GJ211907.1	KI270368.1
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	KI270923.1
HG2241_PATCH	NW_011332692.1
HSCHR3_9_CTG3	KI270784.1
GL383545.1	HSCHR10_1_CTG1
HSCHR6_1_CTG7	KI270800.1
KI270719.1	chr9_KI270719v1_random
HG2334_PATCH	NW_013171807.1
HSCHR7_2_CTG1	KI270899.1
KN196485.1	NW_009646207.1
GL000214.1	chrUn_GL000214v1
NW_003315939.2	chr12_GL383550v2_alt
KI270617.1	NT_187318.1
HSCHR22_1_CTG4	chr22_KI270876v1_alt
GL000099.2	NT_030059.14
HSCHR2_1_CTG15	KI270767.1
21	chr21
HSCHR15_6_CTG8	NW_012132920.1
NT_187654.1	chr8_KI270900v1_alt
HSCHR19LRC_PGF2_CTG3_1	NW_003571061.2
KI270718.1	NT_187373.1
HSCHR8_3_CTG7	chr8_KI270816v1_alt
NW_003571049.1	chr12_GL877875v1_alt
GL000252.2	HSCHR6_MHC_DBB_CTG1
HSCHR18_2_CTG1_1	NW_003315959.1
HSCHR22_1_CTG6	KI270878.1
NT_167246.2	chr6_GL000253v2_alt
HSCHR11_3_CTG1	NT_187681.1
HSCHR1_4_CTG31	chr1_KI270765v1_alt
HSCHR18_2_CTG2	NW_003315960.1
KV575255.1	NW_016107309.1
5	chr5
KI270747.1	chrUn_KI270747v1
HSCHR19KIR_G085_A_HAP_CTG3_1	KI270883.1
KN538366.1	NW_011332693.1
GJ212091.1	NT_187286.1
HG2133_PATCH	NW_019805491.1
HG1012_PATCH	MU273365.1
KI270389.1	NT_187473.1
HSCHR2_3_CTG7_2	chr2_KI270768v1_alt
KI270387.1	chrUn_KI270387v1
HSCHR13_1_CTG8	KQ090025.1
HSCHR10_1_CTG4	KI270825.1
GL000237.2	NT_167231.2
KI270911.1	chr18_KI270911v1_alt
KI270826.1	chr11_KI270826v1_alt
KI270818.1	NT_187572.1
GJ211961.2	KI270439.1
KI270302.1	chrUn_KI270302v1
NC_000001.11	chr1
HSCHR19KIR_CA01-TA01_2_CTG3_1	NW_016107302.1
NT_187364.1	chr1_KI270709v1_random
HSCHR3_2_CTG3	KI270782.1
HSCHR4_1_CTG4	chr4_KI270790v1_alt
HG2576_PATCH	MU273367.1
KI270581.1	chrUn_KI270581v1
HSCHR22_2_CTG1	KB663609.1
HSCHR4_4_CTG12	NT_187544.1
GL000059.2	NT_007933.16
HSCHR16_4_CTG3_1	NW_013171813.1
KI270584.1	NT_187453.1
HSCHR5_1_CTG1	NW_003315920.1
GL949746.1	HSCHR19LRC_COX1_CTG3_1
NT_187655.1	chr8_KI270901v1_alt
HSCHR17_1_CTG2	KI270861.1
GJ211929.1	NT_187204.1
HSCHR7_2_CTG7	NT_187563.1
HSCHR19LRC_COX1_CTG3_1	chr19_GL949746v1_alt
NC_012920.1	chrM
HSCHR6_MHC_MANN_CTG1	NT_167246.2
KI270910.1	NT_187664.1
GJ212095.1	KI270575.1
KI270929.1	chr19_KI270929v1_alt
HSCHR16_4_CTG1	chr16_KI270856v1_alt
HSCHR3_3_CTG3	KI270895.1
KI270517.1	chrUn_KI270517v1
KI270337.1	chrUn_KI270337v1
NC_000024.10	Y
9	NC_000009.12
HG2213_PATCH	KQ090028.1
NT_187467.1	chrUn_KI270363v1
HSCHR19KIR_502960008-1_CTG3_1	NW_016107307.1
KI270798.1	chr6_KI270798v1_alt
NT_187408.1	chrUn_KI270412v1
HSCHR18_5_CTG1_1	KQ458385.1
KN538365.1	NW_011332692.1
KI270840.1	NT_187594.1
HSCHR19_4_CTG3_1	NT_187693.1
KI270627.1	NT_187323.1
NW_003315945.1	chr16_GL383556v1_alt
HSCHR4_7_CTG12	KI270925.1
NT_187435.1	chrUn_KI270511v1
KI270930.1	chr19_KI270930v1_alt
HSCHR22_1_CTG4	NT_187630.1
HSCHR3_7_CTG3	KI270936.1
KI270832.1	chr11_KI270832v1_alt
KI270781.1	chr3_KI270781v1_alt
NT_187475.1	chrUn_KI270387v1
KI270396.1	NT_187477.1
HSCHR1_4_CTG3	NW_014040926.1
GJ211968.2	NT_187233.1
CM000672.2	NC_000010.11
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	chr19_KI270914v1_alt
NT_187396.1	chrUn_KI270302v1
NT_187426.1	chrUn_KI270468v1
GL383546.1	chr10_GL383546v1_alt
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	chr19_KI270887v1_alt
HSCHR11_1_CTG2	KI270826.1
GL000251.2	chr6_GL000251v2_alt
7	CM000669.2
GL000129.2	NT_010718.17
KI270327.1	NT_187180.1
KI270372.1	chrUn_KI270372v1
HSCHR16_2_CTG3_1	chr16_GL383557v1_alt
NT_187542.1	chr4_KI270785v1_alt
NT_187646.1	chr1_KI270892v1_alt
NT_187539.1	chr3_KI270784v1_alt
NT_187688.1	chr3_KI270934v1_alt
GL000219.1	NT_167213.1
HSCHR1_3_CTG32_1	NT_187519.1
HG2365_PATCH	NW_021160017.1
HSCHR8_5_CTG7	KI270819.1
HSCHR18_1_CTG2_1	chr18_GL383569v1_alt
22	NC_000022.11
HSCHR18_4_CTG1_1	NT_187618.1
KI270917.1	NT_187671.1
HSCHR8_2_CTG1	KI270812.1
HSCHR5_3_CTG1	KI270791.1
NT_187378.1	chr14_KI270723v1_random
KI270520.1	NT_187258.1
HG1523_PATCH	ML143364.1
KI270921.1	NT_187675.1
NT_187680.1	chr8_KI270926v1_alt
HG2021_PATCH	KN196484.1
KI270931.1	NT_187685.1
CM000676.2	NC_000014.9
HSCHR8_4_CTG7	chr8_KI270817v1_alt
CM000680.2	chr18
HG2046_PATCH	NW_016107299.1
NT_187597.1	chr13_KI270843v1_alt
KI270375.1	NT_187493.1
HSCHR6_1_CTG2	chr6_GL383533v1_alt
HSCHR3_2_CTG2_1	KI270777.1
HSCHR9_1_CTG2	chr9_GL383540v1_alt
KI270841.1	NT_187595.1
KV880764.1	NW_017852929.1
KI270584.1	chrUn_KI270584v1
HSCHR17_11_CTG4	KV766197.1
HSCHR19_1_CTG2	NW_003315962.1
HSCHR17_7_CTG4	NT_187614.1
KI270418.1	chrUn_KI270418v1
HG2241_PATCH	KN538365.1
NT_187507.1	na
GL383530.1	NW_003315918.1
KV766193.1	NW_017363814.1
KI270702.1	NT_187357.1
KI270919.1	NT_187673.1
GL000126.2	NT_010498.16
KI270791.1	NT_187547.1
GL383552.1	HSCHR12_2_CTG2_1
NT_187423.1	chrUn_KI270467v1
HSCHR1_3_CTG32_1	chr1_KI270763v1_alt
HSCHR13_1_CTG5	KI270842.1
NT_187374.1	chr9_KI270719v1_random
KI270906.1	chr15_KI270906v1_alt
KV575246.1	NW_016107300.1
NT_187501.1	chrUn_KI270746v1
HSCHR2_7_CTG7_2	KZ208907.1
HG1521_PATCH	NW_021160002.1
KI270847.1	chr14_KI270847v1_alt
NT_187533.1	chr3_KI270777v1_alt
KI270765.1	NT_187520.1
GL000257.2	chr4_GL000257v2_alt
GJ212168.2	NT_187347.1
GJ212124.2	NT_187322.1
KZ559112.1	NW_019805499.1
GJ211883.1	KI270344.1
HG439_PATCH	NW_021160027.1
HSCHR17_9_CTG4	KI270859.1
GL000132.2	NT_010783.16
HSCHR6_1_CTG8	NT_187556.1
NT_187473.1	chrUn_KI270389v1
ML143362.1	NW_021160008.1
NC_000003.12	chr3
HSCHR19_2_CTG3_1	chr19_KI270866v1_alt
GL383528.1	HSCHR4_1_CTG6
GJ211871.1	NT_187183.1
HG926_PATCH	KV880768.1
GL000078.1	NT_086755.3
NT_187564.1	chr7_KI270808v1_alt
KI866536.1	NT_187252.1
CM000686.2	chrY
HSCHR7_2_CTG1	NT_187653.1
HSCHR13_1_CTG4	KI270841.1
KI270897.1	NT_187651.1
KI270467.1	NT_187423.1
HSCHR5_10_CTG1	MU273356.1
HSCHR2_3_CTG15	chr2_KI270776v1_alt
HG2242_HG2243_PATCH	KN538366.1
HSCHR9_1_CTG3	NW_003315930.1
HG151_NOVEL_TEST	chr11_JH159137v1_alt
HG2022_PATCH	KN196476.1
NT_167209.1	chrUn_GL000214v1
HSCHR1_ALT2_1_CTG32_1	KI270892.1
NW_003315906.1	chr1_GL383519v1_alt
GJ212167.2	KI270675.1
HG2288_HG2289_PATCH	NW_011332698.1
6	chr6
GL000225.1	chr14_GL000225v1_random
HG1509_PATCH	NW_021160030.1
KI270523.1	NT_187259.1
GJ212118.2	KI270620.1
KI270929.1	NT_187683.1
CM000683.2	NC_000021.9
HSCHR18_4_CTG1_1	KI270864.1
NC_000009.12	chr9
GL000255.2	HSCHR6_MHC_QBL_CTG1
HG1311_HG2539_PATCH	KQ759762.2
NT_187422.1	chrUn_KI270465v1
HG1296_PATCH	ML143348.1
KI270850.1	NT_187606.1
HG2285_HG106_HG2252_PATCH	KV766196.1
HSCHR4_6_CTG12	NT_187650.1
HSCHR21_3_CTG1_1	NW_003315969.2
NT_113949.2	chr19_GL000209v2_alt
HG1506_PATCH	ML143382.1
ML143351.1	NW_021159997.1
HSCHR8_8_CTG1	NT_187576.1
HG2499_PATCH	NW_021160015.1
HSCHR6_MHC_MANN_CTG1	chr6_GL000253v2_alt
KI270660.1	NT_187337.1
HSCHR19LRC_COX2_CTG3_1	NW_003571055.2
HSCHR19KIR_FH15_B_HAP_CTG3_1	NT_187636.1
NT_187591.1	chr12_KI270836v1_alt
HSCHR17_2_CTG1	KI270907.1
NT_187523.1	chr2_KI270767v1_alt
NT_187438.1	chrUn_KI270517v1
HSCHR7_1_CTG4_4	KI270806.1
GL949753.2	chr19_GL949753v2_alt
KI270891.1	NT_187645.1
HSCHR4_11_CTG12	KQ983258.1
